brand,model,year,color,km,cc,transmission,city,price
Mitsubishi,Lancer EX Shark,2016,Red,225000,1600,Automatic,Nasr city,325000
Kia,Carens,2010,Black,100000,1600,Automatic,Cairo,270000
Renault,Scala,2011,Silver,196000,1600,Automatic,El Haram,165000
Opel,Astra,2017,Brown,102000,1600,Automatic,Tagamo3 - New Cairo,360000
Jeep,Grand Cherokee,2020,White,30000,5700,Automatic,Heliopolis,1880000
Speranza,A113,2007,Silver,26000,1300,Manual,El Marg,75000
Hyundai,Elantra HD,2017,Dark red,115000,1600,Automatic,6 October,325000
Kia,Grand Cerato,2022,Mocha,14600,1600,Automatic,Alexandria,875000
Mitsubishi,Lancer Puma,2010,White,130000,1300,Automatic,Alexandria,205000
Suzuki,Maruti,2013,Red,49500,800,Manual,Beni Suef,88000
Renault,Sandero Step Way,2016,Blue,95000,1600,Automatic,El Haram,290000
Lada,2110,2007,Silver,88000,1600,Manual,Maadi,70000
Peugeot,405,1994,Black,200000,1600,Manual,6 October,65000
Opel,Adam,2015,Red,95000,1400,Manual,Damietta,360000
Hyundai,IX 35,2015,Red,140000,1600,Automatic,Damietta,495000
Opel,Vectra,2002,Silver,134000,1600,Manual,El Haram,115000
DFSK,Glory 330,2022,Gray,33000,1500,Manual,Red Sea,330000
Hyundai,Elantra AD,2019,Silver,80000,1600,Automatic,Zamalek,475000
Volkswagen,Passat,2000,Silver,300000,1600,Automatic,El Haram,135000
Mitsubishi,Attrage,2023,White,0,1200,Automatic,6 October,380000
Nissan,Sunny,2015,Gold,114000,1500,Automatic,Shobra,260000
BMW,525,2006,Silver,20000,2500,Automatic,Nasr city,410000
Opel,Grandland,2018,White,119000,1600,Automatic,Tagamo3 - New Cairo,680000
Nissan,Sentra,2017,Black,101000,1600,Automatic,Nasr city,365000
BMW,418,2017,Blue,85000,1500,Automatic,Nasr city,825000
MG,6,2019,Gray,64000,1500,Automatic,El Haram,440000
Peugeot,504,1976,Gold,200000,2000,Manual,Zagazig,40000
Renault,Duster,2020,White,135000,1600,Automatic,Al Shorouk,405000
Suzuki,Swift Dzire,2022,Mocha,9000,1200,Automatic,Madinaty,350000
Hyundai,Elantra MD,2014,White,90000,1600,Automatic,El Senbellawein,415000
Daewoo,Lanos,2001,Black,200000,1500,Manual,Helwan,87000
Hyundai,Tucson,2019,Blue,40000,1300,Automatic,Giza,760000
Kia,Picanto,2013,Red,50000,1300,Automatic,Nasr city,260000
Mitsubishi,Lancer EX Shark,2016,Silver,107000,1600,Automatic,Suez,425000
Fiat,Tipo,2019,Silver,50000,1600,Automatic,Damietta,400000
Toyota,Corolla,2021,Silver,110000,1600,Automatic,Tagamo3 - New Cairo,650000
Opel,Grandland,2021,Red,40000,1600,Automatic,Cairo,850000
Fiat,Tipo,2020,Dark red,168000,1400,Manual,Giza,275000
Suzuki,Maruti,2013,Dark red,49000,800,Manual,Beni Suef,95000
Chevrolet,Lanos,2000,Red,300000,1500,Manual,Banha,100000
Skoda,Kodiaq,2021,Petroleum,57000,1400,Automatic,Mansoura,1230000
Mazda,Mazda 3,2019,Red,83000,1600,Automatic,Maadi,500000
Ford,Kuga,2019,Dark blue,33000,1500,Automatic,Maadi,775000
Chevrolet,Aveo,2017,Gray,47000,1500,Automatic,Alexandria,230000
Renault,Kadjar,2018,Mocha,117000,1200,Automatic,Alexandria,465000
Geely,Emgrand 7,2014,Black,50000,1500,Manual,Giza,150000
BMW,335,2013,Black,160000,3000,Automatic,Suez,880000
Hyundai,Elantra AD,2020,Black,63000,1600,Automatic,Ashmoun,495000
BMW,320,2021,Light grey,51000,1600,Automatic,Heliopolis,1300000
BMW,X3,2015,Gray,65000,2000,Automatic,Cairo,1130000
Hyundai,XD,2004,Dark green,195000,1600,Automatic,Cairo,185000
Chery,Arrizo 5,2022,Cyan,50000,1500,Automatic,Abu Qir,305000
Kia,Cerato,2017,Light grey,156000,1600,Automatic,Alexandria,385000
Nissan,Qashqai,2017,Silver,90000,1200,Automatic,Giza,493000
Volkswagen,Bora,2001,Gray,190000,2000,Automatic,Sheraton,180000
Mercedes,E 200,2010,Black,108000,1800,Automatic,Port Said,625000
Toyota,Corolla,2022,White,8000,1600,Automatic,Heliopolis,785000
Mitsubishi,Lancer Puma,2008,Dark red,280000,1600,Automatic,Giza,160000
Renault,Sandero Step Way,2016,Blue,80000,1600,Automatic,Menouf,280000
Daewoo,Nubira 2,2006,Gold,156731,1500,Manual,Cairo,127000
Kia,Sportage,2020,Red,13500,1600,Automatic,6 October,850000
Volkswagen,Passat,2013,Black,175000,1400,Automatic,Nasr city,405000
Peugeot,508,2022,Gray,21000,1600,Automatic,Tagamo3 - New Cairo,990000
Opel,Corsa,2006,Black,250000,1600,Manual,Abu Hummus,90000
Opel,Astra,2001,Silver,120000,1200,Manual,Damietta,120000
Peugeot,301,2021,Light grey,6000,1600,Automatic,Alexandria,390000
Renault,Kadjar,2020,Red,45000,1200,Automatic,Kafr el-Sheikh,685000
Jeep,Renegade,2018,Red,240000,1400,Automatic,Beheira,585000
Toyota,Yaris,2007,Red,230000,1300,Automatic,Giza,190000
Chevrolet,Cruze,2017,Silver,120000,1600,Automatic,Tanta,355000
Mitsubishi,Pajero,2005,Gray,360000,3800,Automatic,Nasr city,750000
Hyundai,Elantra,1997,White,300000,1600,Automatic,Sheikh Zayed City,80000
Daewoo,Lanos,1979,Dark blue,400000,1600,Manual,10th of Ramadan,55000
Nissan,Sunny,2017,Red,170000,1500,Automatic,Kafr el-Sheikh,268000
MG,HS,2022,Black,38000,1500,Automatic,Nasr city,750000
Citroën,C Elysee,2019,White,92000,1600,Automatic,Cairo,280000
Honda,City,2004,Silver,435000,1300,Manual,Tagamo3 - New Cairo,155000
Peugeot,406,2003,Black,350000,2000,Automatic,Minya Al Qamh,150000
Kia,Cerato,2011,Silver,209000,1600,Automatic,Shibin el Kom,360000
Fiat,Tipo,2021,Bronze,15000,1600,Automatic,Al Shorouk,575000
Renault,Logan,2013,Black,170000,1600,Manual,Maadi,135000
Kia,Cerato,2014,White,175000,1600,Automatic,Tagamo3 - New Cairo,350000
Peugeot,301,2021,White,50000,1600,Automatic,Alexandria,350000
Nissan,Sentra,2021,Bronze,41000,1600,Automatic,6 October,525000
MG,5,2021,Black,60000,1500,Automatic,Heliopolis,420000
Hyundai,Elantra AD,2019,White,150000,1600,Automatic,Banha,430000
MG,ZS,2020,Blue,58000,1500,Automatic,Mohandessin,485000
MG,Rx5,2019,Blue,71000,1500,Automatic,Alexandria,570000
Toyota,Yaris,2008,Black,160000,1300,Manual,Cairo,255000
Chery,Tiggo 7,2021,White,22000,1500,Automatic,Cairo,465000
Skoda,Superb,2021,White,30000,2000,Automatic,Alexandria,1060000
Mitsubishi,Lancer Crystala,1990,White,125000,1300,Manual,Faiyum,66000
Suzuki,S Presso,2022,Red,16000,1000,Manual,Monufia,210000
Chevrolet,Optra,2019,Gray,125000,1500,Automatic,Alexandria,275000
Skoda,Kodiaq,2020,Black,60000,1400,Automatic,Kafr el-Sheikh,1120000
Skoda,Octavia A5,2007,Cyan,266000,1600,Automatic,Heliopolis,275000
Kia,Soul,2016,Silver,95000,1600,Automatic,El Mahalla,515000
Nissan,Sunny,2019,Gray,112800,1500,Automatic,Giza,275000
Chevrolet,Optra,2017,Dark red,200000,1600,Automatic,Helwan,235000
Chevrolet,Optra,2020,Silver,105000,1600,Automatic,Cairo,280000
Brilliance,V5,2015,Silver,85000,1600,Automatic,Alexandria,285000
Peugeot,508,2020,Black,25000,1600,Automatic,Alexandria,915000
Byd,F3,2022,Blue,79000,1500,Automatic,Imbaba,260000
Suzuki,Alto,2015,Red,26000,800,Manual,Maadi,150000
Kia,Picanto,2013,Black,76000,1300,Manual,Maadi,220000
Brilliance,V5,2015,Red,144000,1590,Automatic,Tanta,325000
Daewoo,Nubira 2,2000,Gold,25000,1600,Automatic,Heliopolis,93000
Geely,Emgrand 7,2017,Cyan,126000,1500,Manual,Cairo,150000
Nissan,Sunny,2020,Gray,42000,1600,Automatic,Maadi,295000
Nissan,Sunny,2011,Petroleum,162000,1600,Manual,Sharqia,190000
MG,5,2021,Silver,75000,1500,Automatic,Al Shorouk,390000
Toyota,Cressida,1984,White,400000,2000,Manual,Helwan,57500
Hyundai,I10,2012,Dark red,40000,1300,Manual,Abu Qir,230000
MG,6,2022,Black,25000,1500,Automatic,Alexandria,545000
Opel,Insignia,2015,Silver,183000,1600,Automatic,Cairo,420000
Nissan,Sunny,2022,Silver,37000,1600,Automatic,Alexandria,350000
Changhe,M50,2019,Silver,162000,1500,Manual,El Salam City,250000
Toyota,Corolla,2021,Silver,80000,1600,Automatic,Giza,600000
Ford,Kuga,2015,Dark red,200000,1600,Automatic,6 October,420000
Renault,Sandero Step Way,2014,Silver,95000,1600,Automatic,Nasr city,215000
Chevrolet,Lanos,2014,Dark red,180000,1500,Manual,Alexandria,156000
Great Wall,C30,2013,Red,230000,1600,Automatic,Bilbeis,140000
MG,5,2021,Black,90000,1500,Automatic,Giza,385000
Jeep,Grand Cherokee,2016,Light grey,130000,5700,Automatic,Sheikh Zayed City,1100000
Kia,Pride,1997,White,100000,1100,Manual,Sheikh Zayed City,50000
Skoda,Octavia A7,2016,Blue,132000,1600,Automatic,Nasr city,580000
Speranza,A620,2007,Champagne,80000,2000,Automatic,Mohandessin,135000
BMW,520,2021,Gray,15000,1600,Automatic,Heliopolis,2450000
Renault,Kadjar,2017,Red,104000,1200,Automatic,6 October,500000
Mercedes,C 180,2018,Silver,140000,1600,Automatic,Cairo,1250000
Mazda,323,1982,White,150000,1300,Manual,Maadi,30000
Byd,S5,2019,Silver,90000,1500,Automatic,Giza,330000
Citroën,C4,2005,Silver,200000,1600,Manual,Al Shorouk,198000
Citroën,C5 Aircross,2020,Gray,87000,1600,Automatic,Tagamo3 - New Cairo,750000
Hyundai,Tucson,2022,Black,28000,1600,Automatic,Cairo,1100000
Mercedes,C 200 AMG,2019,White,92000,2000,Automatic,Tagamo3 - New Cairo,1600000
Mazda,Mazda 3,2015,Black,129000,1600,Automatic,Tagamo3 - New Cairo,390000
Hyundai,I10,2017,Red,88000,1100,Automatic,Sheikh Zayed City,315000
MG,Rx5,2019,White,71000,1500,Automatic,Sheikh Zayed City,575000
Hyundai,Accent RB,2023,Gray,800,1600,Automatic,Alexandria,430000
Hyundai,Elantra CN7,2021,Light grey,52000,1600,Automatic,Sheikh Zayed City,665000
Hyundai,Tucson GDI,2021,Black,21000,1600,Automatic,Sheikh Zayed City,880000
Hyundai,Elantra,2009,Black,130000,1600,Automatic,Maadi,265000
Skoda,Fantasia,2011,Black,202400,1600,Manual,Giza,280000
Byd,F3,2018,Red,190000,1500,Manual,Obour City,190000
Toyota,Corolla,2016,White,120000,1600,Automatic,Zagazig,550000
Hyundai,I30,2008,Black,160000,1600,Automatic,Banha,260000
Seat,Leon,2018,White,93000,1200,Automatic,Mansoura,650000
Mazda,Mazda 3,2010,White,166000,1600,Automatic,Tagamo3 - New Cairo,280000
Senova,X35,2018,Blue,88000,1600,Automatic,Shobra,350000
Citroën,C5,2022,Silver,500,1600,Automatic,Cairo,950000
Mitsubishi,Lancer EX Shark,2015,White,85000,1600,Automatic,Sharqia,405000
Mercedes,C 200 AMG,2020,Red,14000,1500,Automatic,Tagamo3 - New Cairo,1700000
Nissan,Sunny,2019,Bronze,31000,1600,Automatic,6 October,305000
Chevrolet,Malibu,2019,White,28000,1500,Automatic,Alexandria,720000
Kia,Cerato,2009,White,135000,1600,Automatic,Mansoura,360000
Kia,Sportage,2018,Black,71000,1600,Automatic,Giza,760000
MG,HS,2021,Red,39000,1500,Automatic,Maadi,665000
Hyundai,Accent RB,2015,Silver,118000,1500,Automatic,Alexandria,290000
Hyundai,Elantra AD,2019,White,100000,1600,Automatic,Alexandria,490000
Kia,Shuma,1999,Gold,280000,1500,Manual,Hurghada,90000
BMW,X5,2017,Brown,109000,4400,Automatic,Alexandria,1550000
Nissan,Juke,2014,Red,140000,1600,Automatic,Alexandria,325000
Nissan,Sunny,2020,Silver,130000,1500,Automatic,Mohandessin,260000
Hyundai,Excel,1997,Dark green,30000,1500,Manual,Giza,65000
Nissan,Sunny,2000,Silver,200000,1300,Manual,Sharqia,115000
Mercedes,C 200,2019,White,35000,1500,Automatic,Heliopolis,1575000
Jetour,X95,2022,Blue,20000,1600,Automatic,Cairo,700000
MG,6,2021,Black,26000,1500,Automatic,Alexandria,530000
Honda,City,2005,Mocha,200000,1300,Manual,Nasr city,140000
Kia,Carens,2011,Gray,144000,1600,Automatic,Beheira,350000
Mitsubishi,Lancer EX Shark,2012,Silver,118000,1600,Automatic,Sharqia,285000
Kia,Cerato,2018,Light grey,48000,1600,Automatic,Shobra,300000
Mitsubishi,Lancer EX Shark,2015,Dark red,117000,1600,Automatic,Cairo,360000
Toyota,Corolla,2021,Silver,18000,1600,Automatic,Banha,650000
Suzuki,Maruti,2007,Silver,65000,800,Manual,Alexandria,64000
Mitsubishi,Lancer EX Shark,2009,White,288000,1500,Automatic,Cairo,195000
Opel,Crossland,2020,Blue,34000,1200,Automatic,El Haram,705000
Opel,Corsa,1998,Blue,200000,1200,Manual,Abu Qir,75000
Daewoo,Nubira 2,2003,White,333000,1600,Manual,Agamy,115000
MG,Rx5,2019,Black,74000,1500,Automatic,Helwan,460000
Suzuki,Maruti,2007,Silver,65000,800,Manual,Alexandria,59000
Renault,Logan,2011,Gray,130000,1600,Automatic,Mansoura,160000
Peugeot,301,2020,Blue,55000,1600,Automatic,El Haram,385000
Nissan,Qashqai,2017,Gray,98000,1200,Automatic,Tagamo3 - New Cairo,480000
Fiat,Tipo,2021,Gray,31000,1600,Automatic,Cairo,500000
Chevrolet,Aveo,2017,Black,110000,1500,Automatic,Tanta,200000
Nissan,Sunny,2009,Silver,105000,1600,Manual,Zagazig,210000
Mercedes,S 500,2007,Beige,200000,5000,Automatic,Tagamo3 - New Cairo,1000000
Toyota,Corolla,2012,White,138000,1300,Automatic,Sohag,350000
Chery,Arrizo 5,2020,Red,61000,1600,Automatic,Cairo,240000
Kia,Cerato,2018,Black,75000,1600,Automatic,Obour City,475000
Kia,Pride,1997,Dark blue,198000,1100,Manual,Cairo,70000
BMW,320,2006,Green,190000,2000,Automatic,Alexandria,290000
Daewoo,Nubira 2,2006,Gold,150000,1600,Manual,Giza,140000
Mitsubishi,Lancer EX Shark,2016,Silver,83000,1600,Automatic,Kafr El Zayat,420000
Citroën,C4,2015,Gray,155000,1600,Automatic,Cairo,325000
Chevrolet,Lanos,2013,Dark red,189000,1500,Manual,Khanka,130000
Suzuki,S Presso,2021,Gray,65000,1000,Manual,El Haram,218000
Nissan,Sunny,2022,Bronze,23000,1500,Automatic,Sheikh Zayed City,350000
Hyundai,Tucson GDI,2021,Gray,53000,1600,Automatic,6 October,890000
MG,5,2021,Red,95000,1500,Automatic,Heliopolis,400000
Kia,Cerato,2020,Blue,70000,1600,Automatic,Helwan,530000
Renault,Sandero Step Way,2020,Mocha,11000,1600,Automatic,Alexandria,365000
Hyundai,Viva,2008,Cyan,248000,1500,Manual,Obour City,125000
Mitsubishi,Lancer EX Shark,2016,Gray,113000,1600,Automatic,Tagamo3 - New Cairo,370000
Daewoo,Lanos 2,2002,Dark blue,280000,1600,Manual,Helwan,100000
Skoda,Octavia A7,2014,Black,170000,1400,Automatic,Port Said,535000
Mitsubishi,Xpander,2022,Black,6570,2500,Automatic,6 October,565000
Peugeot,308,2011,Blue,146000,1600,Automatic,Aswan,200000
Mercedes,E 200,1986,White,200000,2000,Automatic,Obour City,48000
Chevrolet,Cruze,2010,Cyan,125000,1600,Automatic,El Marg,195000
Nissan,Sunny,2022,Bronze,38000,1500,Automatic,Maadi,315000
Nissan,Sentra,2015,Black,188000,1600,Automatic,Shobra,310000
Kia,Rio,2013,Silver,170000,1400,Automatic,Suez,270000
Nissan,Sunny,2019,Black,130000,1600,Automatic,Dokki,200000
Subaru,Foreste,2013,Black,150000,2000,Automatic,Ismailia,470000
Lada,2107,2008,White,95000,1600,Manual,Alexandria,55000
Fiat,Shahin,1999,White,80000,1400,Manual,Alexandria,38000
Byd,F3,2013,Silver,31500,1600,Manual,Giza,200000
Fiat,Tipo,2021,White,38000,1600,Automatic,Alexandria,425000
Citroën,C Elysee,2020,Gray,88000,1600,Automatic,Cairo,335000
Nissan,Sunny,2021,Gray,130000,1500,Automatic,Cairo,350000
Renault,Logan,2021,Silver,124000,1600,Automatic,Alexandria,268000
Geely,Ck2,2010,Silver,136000,1600,Automatic,Heliopolis,100000
Nissan,Qashqai,2017,White,45000,1200,Automatic,Hurghada,580000
Chevrolet,Aveo,2015,Blue,121000,1500,Automatic,Obour City,215000
Chevrolet,Trial Blazer,2004,White,195000,4300,Automatic,Helwan,265000
Mercedes,C 180,2022,Black,25000,1600,Automatic,Heliopolis,2250000
Nissan,Qashqai,2018,Dark red,100000,1200,Automatic,Damanhur,550000
Toyota,Corolla,2017,White,80000,1600,Automatic,El Mahalla,450000
Kia,Xceed,2022,Black,12170,1500,Automatic,Cairo,680000
Daewoo,Nubira 2,2001,Silver,200000,1500,Manual,Giza,110000
Chrysler,300,2001,Dark blue,245000,3500,Automatic,Giza,135000
Opel,Astra,2016,Gray,136000,1600,Automatic,Alexandria,360000
Mercedes,GLC 200,2021,Black,12000,2000,Automatic,Tagamo3 - New Cairo,2150000
Mazda,Mazda 3,2013,White,190000,1600,Automatic,Cairo,350000
Nissan,Sunny,2020,Light grey,87000,1500,Automatic,Touhk,283000
Peugeot,504,1977,Red,100000,2000,Manual,Sadat City,60000
Skoda,Octavia A7,2014,Red,130000,1400,Automatic,Maadi,430000
Ford,Kuga,2017,Dark blue,200000,1600,Automatic,Zagazig,550000
Kia,Rio,2014,Black,64000,1500,Automatic,Port Said,320000
Volkswagen,Passat,2018,Mocha,110000,1400,Automatic,Nasr city,720000
Nissan,Sunny,2019,Silver,97000,1500,Automatic,Kafr el-Sheikh,295000
Nissan,Juke,2013,White,180000,1600,Automatic,Khanka,270000
Kia,Cerato,2018,White,150000,1600,Automatic,El Mahalla,450000
Hyundai,IX 35,2015,Black,98000,1600,Automatic,Giza,455000
Peugeot,301,2019,Gray,89000,1600,Automatic,Giza,320000
Kia,Sportage,2021,Silver,12000,1600,Automatic,El Mahalla,980000
Hyundai,Atos,1998,Silver,155000,1000,Manual,Maadi,75000
Kia,Rio,2015,Red,130000,1400,Automatic,Nasr city,305000
Chevrolet,Optra,2017,Dark blue,208000,1500,Automatic,Helwan,250000
Hyundai,Accent RB,2015,Silver,54000,1600,Automatic,El Haram,350000
Seat,Ateca,2022,Silver,187,1400,Automatic,Bilbeis,950000
Hyundai,Tucson,2019,Silver,75000,1600,Automatic,Cairo,755000
Kia,Shuma,2000,Gold,200000,1500,Automatic,Alexandria,107000
Peugeot,5008,2021,White,35000,1600,Automatic,Luxor,1050000
Nissan,Sunny,2009,Gold,185000,1600,Manual,Shobra,225000
Nissan,Sunny,2017,Bronze,43000,1500,Automatic,6 October,265000
BMW,320,2010,Gray,130000,2000,Automatic,Tagamo3 - New Cairo,450000
Opel,Astra,2014,Black,224000,1600,Automatic,Tagamo3 - New Cairo,350000
Nissan,Sunny,2013,Black,160000,1600,Automatic,Monufia,230000
Skoda,Octavia A4,1999,Green,194000,1600,Manual,Helwan,135000
Jac,S2,2019,White,75000,1500,Automatic,Tanta,300000
Hyundai,Verna,2015,Dark blue,80000,1600,Manual,Cairo,185000
Hyundai,Elantra CN7,2021,Blue,40000,1600,Automatic,Heliopolis,565000
Toyota,Yaris,2015,Silver,190000,1500,Automatic,Alexandria,290000
Hyundai,Tucson,2022,Gray,45000,1600,Automatic,Alexandria,810000
Jac,J7,2022,Black,25000,1500,Automatic,Sharqia,480000
Brilliance,Galena,2008,White,200000,2000,Automatic,Qalyubia,148000
Hyundai,Santa Fe,2013,Silver,210000,3500,Automatic,Sheikh Zayed City,650000
Daewoo,Lanos,2000,Black,131000,1500,Manual,Warraq,77000
Peugeot,3008,2016,Mocha,95000,1600,Automatic,Warraq,450000
Skoda,Octavia A5,2007,Gray,200000,1600,Manual,Cairo,225000
Hyundai,Verna,2019,Bronze,207000,1600,Manual,Alexandria,215000
Renault,Kadjar,2019,Red,118000,1200,Automatic,Tagamo3 - New Cairo,650000
Toyota,Corolla,2008,Silver,188000,1600,Manual,Nasr city,220000
Toyota,Yaris,2015,Black,111000,1500,Automatic,Giza,300000
BMW,520,2013,Black,90000,2000,Automatic,El Haram,780000
Mercedes,E 300,2010,Mocha,190000,3000,Automatic,Madinaty,900000
Kia,Sportage,2016,Mocha,80000,1600,Automatic,Damanhur,570000
Peugeot,505,1988,White,150000,2000,Automatic,Cairo,75000
Nissan,Bluebird,2011,Silver,190000,1600,Automatic,Sheikh Zayed City,200000
Chevrolet,Aveo,2012,Red,300000,1600,Manual,Giza,130000
Renault,Logan,2015,Mocha,90000,1600,Manual,Cairo,178000
Lada,Granta,2018,Black,120000,1600,Manual,El Haram,165000
Kia,Rio,2012,Red,40000,1400,Manual,Giza,226000
Fiat,Siena,2002,Blue,155000,1400,Manual,Warraq,65000
Chevrolet,Optra,2008,Black,142000,1600,Automatic,Tagamo3 - New Cairo,200000
Toyota,Rush,2019,Gray,13600,1600,Automatic,Dokki,650000
Mercedes,CLA 180,2018,Red,42000,1600,Automatic,Tagamo3 - New Cairo,1000000
Chevrolet,Aveo,2020,Dark red,95000,1600,Automatic,Alexandria,225000
Opel,Grandland,2021,Red,40000,1600,Automatic,Obour City,820000
Hyundai,Elantra MD,2012,Mocha,148000,1500,Automatic,Kafr el-Sheikh,295000
Chevrolet,Lanos,2009,Dark red,320000,1500,Manual,Giza,103000
Chevrolet,Optra,2020,Gray,75000,1500,Automatic,Heliopolis,310000
Fiat,Tipo,2021,Dark blue,100000,1600,Automatic,Giza,425000
Kia,Carens,2011,Black,100000,1600,Automatic,Giza,318000
Daihatsu,Terios,1999,Gold,160000,1600,Automatic,Helwan,130000
Speranza,M12,2014,Black,148000,1600,Manual,Tagamo3 - New Cairo,135000
Daewoo,Lanos 2,2005,Silver,170000,1500,Manual,Hurghada,105000
Geely,Emgrand X7,2019,Mocha,110000,1300,Automatic,Cairo,420000
Renault,Captur,2018,Black,94000,1600,Automatic,Cairo,380000
Hyundai,Solaris,2017,Red,55000,1400,Automatic,Ain Shams,300000
Fiat,Tipo,2021,Dark blue,80800,1600,Automatic,Maadi,390000
Mercedes,E 350,2019,Black,50000,3000,Automatic,Tagamo3 - New Cairo,2450000
Nissan,Sunny,2017,Gold,89000,1500,Automatic,Beheira,263000
Kia,Carens,2017,Black,170000,1600,Automatic,Cairo,420000
Toyota,Corolla,2021,Silver,50000,1600,Automatic,Giza,680000
Renault,Logan,2021,Brown,2000,1600,Manual,Cairo,270000
Hyundai,Verna,2014,Silver,200000,1600,Manual,Tanta,150000
Mazda,323,1982,Blue,60000,1300,Manual,Cairo,43000
Fiat,Polonez,1987,Beige,200000,1500,Manual,Aswan,22000
Suzuki,Alto,2007,Black,160000,800,Manual,El Haram,70000
Hyundai,IX 35,2016,Bronze,130000,1600,Automatic,Qalyubia,495000
Kia,Sportage,2019,Blue,110000,1600,Automatic,Sharqia,790000
Kia,Sportage,2021,Red,45000,1600,Automatic,Heliopolis,875000
Fiat,Tipo,2020,Brown,70000,1600,Automatic,Mansoura,470000
Daewoo,Lanos,2000,Dark green,200000,1500,Manual,Sheikh Zayed City,117000
BMW,520,2019,White,75000,2000,Automatic,Mansoura,1450000
BMW,318,2017,Silver,170000,1500,Automatic,Tagamo3 - New Cairo,690000
MG,5,2021,Black,75000,1500,Automatic,Tagamo3 - New Cairo,400000
Kia,Cerato,2012,Brown,197000,1600,Automatic,Kom Ombo,400000
Nissan,Sunny,2020,Gold,50000,1500,Automatic,6 October,330000
Lada,Granta,2021,Gray,40000,1600,Manual,6 October,140000
MG,6,2022,Black,11000,2000,Automatic,Madinaty,600000
Peugeot,301,2014,Black,275000,1600,Automatic,6 October,220000
Fiat,Shahin,2002,White,85000,1400,Manual,6 October,44000
Chery,Tiggo 3,2022,Light grey,35000,1600,Automatic,Beni Suef,380000
BMW,X6,2018,Black,110000,3000,Automatic,Sheikh Zayed City,2200000
Nissan,Sunny,2020,Silver,74000,1500,Automatic,Cairo,285000
Opel,Insignia,2018,White,95000,1500,Automatic,Heliopolis,715000
Peugeot,301,2020,Gray,169000,1600,Automatic,Cairo,300000
Hyundai,Elantra AD,2017,Black,59000,1600,Automatic,Shobra,500000
Seat,Arona,2021,Blue,60000,1600,Automatic,Marsa Matrouh,650000
Chevrolet,Lanos,2014,Cyan,125000,1500,Manual,Hurghada,135000
Hyundai,Elantra HD,2017,Silver,140000,1600,Automatic,Warraq,300000
Opel,Astra,2019,Black,43000,1400,Automatic,Shobra,470000
Kia,Carens,2012,Mocha,212000,1600,Automatic,Sharm el-Sheikh,350000
Toyota,Corolla,2018,Black,30000,1600,Automatic,Maadi,580000
Mercedes,CLC Class,2019,Blue,15000,2000,Automatic,6 October,2500000
Hyundai,Verna,2017,Silver,222000,1600,Automatic,Giza,185000
Chery,Envy,2017,Brown,170000,1500,Manual,Agamy,140000
Toyota,Corolla,2013,White,153000,1600,Automatic,Sadat City,365000
Renault,Logan,2018,Petroleum,150000,1500,Manual,Cairo,200000
Nissan,Sunny,2018,Gold,143000,1500,Automatic,Cairo,265000
BMW,X3,2015,Black,290000,3000,Automatic,Sheikh Zayed City,850000
Chery,Tiggo 7,2022,Blue,155000,1500,Automatic,10th of Ramadan,480000
Renault,Kadjar,2017,Red,60000,1200,Automatic,Cairo,580000
Skoda,Octavia A7,2016,Silver,125000,1600,Automatic,Madinaty,650000
BMW,320,2009,Gray,160000,3000,Automatic,Obour City,470000
Kia,Sportage,2021,White,16500,1600,Automatic,Sheikh Zayed City,940000
Nissan,Sunny,2019,Black,100000,1500,Automatic,Ain Shams,300000
Geely,Emgrand 7,2017,Black,80000,1000,Manual,Warraq,220000
Renault,Captur,2017,Orange,90000,1200,Automatic,Cairo,350000
Speranza,M11,2010,Silver,51000,1600,Manual,Tagamo3 - New Cairo,160000
Volkswagen,Golf 3,2001,Red,200000,1600,Automatic,Ain Shams,220000
Mazda,Mazda 3,2015,Dark blue,190000,1600,Automatic,Al Shorouk,345000
Nissan,Sunny,2022,Red,14000,1500,Automatic,Qalyubia,365000
Kia,Grand Cerato,2022,Gray,46000,1600,Automatic,Tala,600000
Hyundai,Getz,2010,Black,147000,1600,Automatic,Nasr city,225000
Speranza,A113,2013,Blue,130000,1300,Manual,6 October,108000
Honda,Civic,2010,Gray,140000,1600,Automatic,Mansoura,310000
Chevrolet,Aveo,2019,Light grey,59000,1500,Automatic,Tanta,280000
MG,5,2021,Red,90000,1500,Automatic,Obour City,390000
Kia,Carens,2011,Light grey,106000,1600,Automatic,Gharbia,380000
Mitsubishi,Pajero,2016,Black,126000,3800,Automatic,Cairo,1125000
Hyundai,Accent,2008,Gold,119000,1600,Manual,Alexandria,170000
Kia,Picanto,2008,Cyan,70000,1250,Manual,Alexandria,149000
Mini,Cooper Hatch,2009,Dark red,190000,1600,Automatic,Banha,240000
Renault,Symbol,2010,Silver,300000,1600,Automatic,Kafr el-Sheikh,170000
Mitsubishi,Lancer Puma,2008,Gray,200000,1600,Manual,El Haram,180000
Speranza,A516,2009,Red,246000,1600,Manual,Obour City,110000
Toyota,Belta,2022,Blue,150,1500,Automatic,Obour City,500000
Nissan,Juke,2022,Purple,19000,1000,Automatic,Tanta,670000
Renault,Kadjar,2019,Gold,121000,1200,Automatic,Tagamo3 - New Cairo,550000
Hyundai,Tucson,2017,Silver,60000,2400,Automatic,Cairo,600000
Hyundai,Creta,2016,Champagne,48000,1600,Automatic,Suez,500000
Byd,F3,2011,Black,200000,1600,Manual,Alexandria,140000
